32,"Queues serve major role in ______________|a) Simulation of recursion|b) Simulation of arbitrary linked list|c) Simulation of limited resource allocation|d) Simulation of heap sort","c","Simulation of recursion uses stack data structure. Simulation of arbitrary linked lists uses linked lists. Simulation of resource allocation uses queue as first entered data needs to be given first priority during resource allocation. Simulation of heap sort uses heap data structure.",10,
33,"Which of the following is not the type of queue?|a) Ordinary queue|b) Single ended queue|c) Circular queue|d) Priority queue","b","Queue always has two ends. So, single ended queue is not the type of queue.",10,
34,"Consider an implementation of unsorted singly linked list. Suppose it has its representation with a head pointer only. Given the representation, which of the following operation can be implemented in O(1) time?|i) Insertion at the front of the linked list|ii) Insertion at the end of the linked list|iii) Deletion of the front node of the linked list|iv) Deletion of the last node of the linked list|a) I and II|b) I and III|c) I, II and III|d) I, II and IV","b","We know the head node in the given linked list. Insertion and deletion of elements at the front of the linked list completes in O (1) time whereas for insertion and deletion at the last node requires to traverse through every node in the linked list. Suppose there are n elements in a linked list, we need to traverse through each node. Hence time complexity becomes O(n).",10,
35,"In linked list each node contains a minimum of two fields. One field is data field to store the data second field is?|a) Pointer to character|b) Pointer to integer|c) Pointer to node|d) Node","c","Each node in a linked list contains data and a pointer (reference) to the next node. Second field contains pointer to node.",10,
36,"What would be the asymptotic time complexity to add a node at the end of singly linked list, if the pointer is initially pointing to the head of the list?|a) O(1)|b) O(n)|c) (n)|d) (1)","c","In case of a linked list having n elements, we need to travel through every node of the list to add the element at the end of the list. Thus asymptotic time complexity is (n).",10,
37,"What would be the asymptotic time complexity to insert an element at the front of the linked list (head is known)?|a) O(1)|b) O(n)|c) O(n2)|d) O(n3)","a","To add an element at the front of the linked list, we will create a new node which holds the data to be added to the linked list and pointer which points to head position in the linked list. The entire thing happens within O (1) time. Thus the asymptotic time complexity is O (1).",10,
38,"What would be the asymptotic time complexity to find an element in the linked list?|a) O(1)|b) O(n)|c) O(n2)|d) O(n4)","b","If the required element is in the last position, we need to traverse the entire linked list. This will take O (n) time to search the element.",10,
39,"What would be the asymptotic time complexity to insert an element at the second position in the linked list?|a) O(1)|b) O(n)|c) O(n2)|d) O(n3)","a","A new node is created with the required element. The pointer of the new node points the node to which the head node of the linked list is also pointing. The head node pointer is changed and it points to the new node which we created earlier. The entire process completes in O (1) time. Thus the asymptotic time complexity to insert an element in the second position of the linked list is O (1).",10,
40,"The concatenation of two lists can be performed in O(1) time. Which of the following variation of the linked list can be used?|a) Singly linked list|b) Doubly linked list|c) Circular doubly linked list|d) Array implementation of list","c","We can easily concatenate two lists in O (1) time using singly or doubly linked list, provided that we have a pointer to the last node at least one of the lists. But in case of circular doubly linked lists, we will break the link in both the lists and hook them together. Thus circular doubly linked list concatenates two lists in O (1) time.",10,
41,"Consider the following definition in c programming language. struct node { } typedef struct node NODE; NODE *ptr; Which of the following c code is used to create new node? a) ptr = (NODE*)malloc(sizeof(NODE)); b) ptr = (NODE*)malloc(NODE); c) ptr = (NODE*)malloc(sizeof(NODE*)); d) ptr = (NODE)malloc(sizeof(NODE));","a","As it represents the right way to create a node.",10,
42,"Linked lists are not suitable for the implementation of ___________ a) Insertion sort b) Radix sort c) Polynomial manipulation d) Binary search","d","It cannot be implemented using linked lists.",10,
43,"Linked list is considered as an example of ___________ type of memory allocation. a) Dynamic b) Static c) Compile time d) Heap","a","As memory is allocated at the run time.",10,
44,"In Linked List implementation, a node carries information regarding ___________ a) Data b) Link c) Data and Link d) Node","b","A linked list is a collection of objects linked together by references from an object to another object. By convention these objects are names as nodes. Linked list consists of nodes where each node contains one or more data fields and a reference(link) to the next node.",10,
45,"Linked list data structure offers considerable saving in _____________ a) Computational Time b) Space Utilization c) Space Utilization and Computational Time d) Speed Utilization","c","Linked lists saves both space and time.",10,
46,"Which of the following points is/are not true about Linked List data structure when it is compared with an array? a) Arrays have better cache locality that can make them better in terms of performance b) It is easy to insert and delete elements in Linked List c) Random access is not allowed in a typical implementation of Linked Lists d) Access of elements in linked list takes less time than compared to arrays","d","To access an element in a linked list, we need to traverse every element until we reach the desired element. This will take more time than arrays as arrays provide random access to its elements.",10,
47,"What does the following function do for a given Linked List with first node as head? void fun1(struct node* head) { } a) Prints all nodes of linked lists b) Prints all nodes of linked list in reverse order c) Prints alternate nodes of Linked List d) Prints alternate nodes in reverse order","b","fun1() prints the given Linked List in reverse manner. For Linked List 1->2->3->4->5, fun1() prints 5->4->3->2->1.",10,
48,"Which of the following sorting algorithms can be used to sort a random linked list with minimum time complexity? a) Insertion Sort b) Quick Sort c) Heap Sort d) Merge Sort","d","Both Merge sort and Insertion sort can be used for linked lists. The slow random-access performance of a linked list makes other algorithms (such as quicksort) perform poorly, and others (such as heapsort) completely impossible. Since worst case time complexity of Merge Sort is O(nLogn) and Insertion sort is O(n2), merge sort is preferred.",10,
49,"What is the time complexity of inserting at the end in dynamic arrays? a) O(1) b) O(n) c) O(logn) d) Either O(1) or O(n)","d","Depending on whether the array is full or not, the complexity in dynamic array varies. If you try to insert into an array that is not full, then the element is simply stored at the end, this takes O(1) time. If you try to insert into an array which is full, first you will have to allocate an array with double the size of the current array and then copy all the elements into it and finally insert the new element, this takes O(n) time.",10,
50,"What is the time complexity to count the number of elements in the linked list? a) O(1) b) O(n) c) O(logn) d) O(n2)","b","To count the number of elements, you have to traverse through the entire list, hence complexity is O(n).",10,
52,"What is the time complexity of pop() operation when the stack is implemented using an array?|a) O(1)|b) O(n)|c) O(logn)|d) O(nlogn)","a","pop() accesses only one end of the structure, and hence constant time.",10,
53,"Which of the following array position will be occupied by a new element being pushed for a stack of size N elements (capacity of stack > N)?|a) S[N-1]|b) S[N]|c) S[1]|d) S[0]","b","Elements are pushed at the end, hence N.",10,
54,"What happens when you pop from an empty stack while implementing using the Stack ADT in Java?|a) Undefined error|b) Compiler displays a warning|c) EmptyStackException is thrown|d) NoStackException is thrown","c","The Stack ADT throws an EmptyStackException if the stack is empty and a pop() operation is tried on it.",10,
55,"Array implementation of Stack is not dynamic, which of the following statements supports this argument?|a) space allocation for array is fixed and cannot be changed during run-time|b) user unable to give the input for stack operations|c) a runtime exception halts execution|d) improper program compilation","a","You cannot modify the size of an array once the memory has been allocated, adding fewer elements than the array size would cause wastage of space, and adding more elements than the array size at run time would cause Stack Overflow.",10,
56,"Which of the following statements are not correct with respect to Singly Linked List (SLL) and Doubly Linked List (DLL)?|a) Complexity of Insertion and Deletion at known position is O(n) in SLL and O(1) in DLL|b) SLL uses lesser memory per node than DLL|c) DLL has more searching power than SLL|d) Number of node fields in SLL is more than DLL","d","To insert and delete at known positions requires complete traversal of the list in worst case in SLL, SLL consists of an item and a node field, while DLL has an item and two node fields, hence SLL occupies lesser memory, DLL can be traversed both ways (left and right), while SLL can traverse in only one direction, hence more searching power of DLL. Node fields in SLL is 2 (data and address of next node) whereas in DLL is 3 (data, address to next node, address to previous node).",10,
57,"Which of the following data structures can be used for parentheses matching?|a) n-ary tree|b) queue|c) priority queue|d) stack","d","For every opening brace, push it into the stack, and for every closing brace, pop it off the stack. Do not take action for any other character. In the end, if the stack is empty, then the input has balanced parentheses.",10,
58,"What is the time complexity of enqueue operation?|a) O(logn)|b) O(nlogn)|c) O(n)|d) O(1)","d","Enqueue operation is at the rear end, it takes O(1) time to insert a new item into the queue.",10,
59,"What is the need for a circular queue?|a) effective usage of memory|b) easier computations|c) to delete elements based on priority|d) implement LIFO principle in queues","a","In a linear queue, dequeue operation causes the starting elements of the array to be empty, and there is no way you can use that space, while in a circular queue, you can effectively use that space. Priority queue is used to delete the elements based on their priority. Higher priority elements will be deleted first whereas lower priority elements will be deleted next. Queue data structure always follows FIFO principle.",10,
60,"In linked list implementation of a queue, where does a new element be inserted?|a) At the head of link list|b) At the centre position in the link list|c) At the tail of the link list|d) At any position in the linked list","c","Since queue follows FIFO so new element inserted at last.",10,
61,"In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into a NONEMPTY queue?|a) Only front pointer|b) Only rear pointer|c) Both front and rear pointer|d) No pointer will be changed","b","Since queue follows FIFO so new element inserted at last.",10,
62,"In linked list implementation of a queue, front and rear pointers are tracked. Which of these pointers will change during an insertion into EMPTY queue?|a) Only front pointer|b) Only rear pointer|c) Both front and rear pointer|d) No pointer will be changed","c","Since its the starting of queue, so both values are changed.",10,
63,"In case of insertion into a linked queue, a node borrowed from the __________ list is inserted in the queue.|a) AVAIL|b) FRONT|c) REAR|d) NULL","a","All the nodes are collected in AVAIL list.",10,
64,"In linked list implementation of a queue, from where is the item deleted?|a) At the head of link list|b) At the centre position in the link list|c) At the tail of the link list|d) Node before the tail","a","Since queue follows FIFO so new element deleted from first.",10,
65,"In linked list implementation of a queue, the important condition for a queue to be empty is?|a) FRONT is null|b) REAR is null|c) LINK is empty|d) FRONT==REAR-1","a","Because front represents the deleted nodes.",10,
66,"The essential condition which is checked before insertion in a linked queue is?|a) Underflow|b) Overflow|c) Front value|d) Rear value","b","To check whether there is space in the queue or not.",10,
67,"The essential condition which is checked before deletion in a linked queue is?|a) Underflow|b) Overflow|c) Front value|d) Rear value","a","To check whether there is element in the list or not.",10,
68,"Which of the following is true about linked list implementation of queue?|a) In push operation, if new nodes are inserted at the beginning of linked list, then in pop operation, nodes must be removed from end|b) In push operation, if new nodes are inserted at the beginning, then in pop operation, nodes must be removed from the beginning|c) In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from end|d) In push operation, if new nodes are inserted at the end, then in pop operation, nodes must be removed from beginning","a","It can be done by both the methods.",10,
69,"Which of the following is not an application of priority queue?|a) Huffman codes|b) Interrupt handling in operating system|c) Undo operation in text editors|d) Bayesian spam filter","c","Undo operation is achieved using a stack.",10,
70,"What is the functionality of the following piece of code?|public Object delete_key() |{|{|System.out.println(""Q is empty"");|System.exit(0);|}|{|Node cur = head.getNext();|Node dup = cur.getNext();|Object e = cur.getEle();|}|}|a) Delete the second element in the list|b) Return but not delete the second element in the list|c) Delete the first element in the list|d) Return but not delete the first element in the list","c","A pointer is made to point at the first element in the list and one more to point to the second element, pointer manipulations are done such that the first element is no longer being pointed by any other pointer, its value is returned.",10,
71,"What is not a disadvantage of priority scheduling in operating systems?|a) A low priority process might have to wait indefinitely for the CPU|b) If the system crashes, the low priority systems may be lost permanently|c) Interrupt handling|d) Indefinite blocking","c","The lower priority process should wait until the CPU completes the processing higher priority process. Interrupt handling is an advantage as interrupts should be given more priority than tasks at hand so that interrupt can be serviced to produce desired results.",10,
72,"Which of the following is not an advantage of a priority queue?|a) Easy to implement|b) Processes with different priority can be efficiently handled|c) Applications with differing requirements|d) Easy to delete elements in any case","d","In worst case, the entire queue has to be searched for the element having the highest priority. This will take more time than usual. So deletion of elements is not an advantage.",10,
73,"Consider you have an array of some random size. You need to perform dequeue operation. You can perform it using stack operation (push and pop) or using queue operations itself (enQueue and Dequeue). The output is guaranteed to be same. Find some differences?|a) They will have different time complexities|b) The memory used will not be different|c) There are chances that output might be different|d) No differences","a","To perform operations such as Dequeue using stack operation you need to empty all the elements from the current stack and push it into the next stack, resulting in a O(number of elements) complexity whereas the time complexity of dequeue operation itself is O(1). And there is a need of a extra stack. Therefore more memory is needed.",10,
74,"Why is implementation of stack operations on queues not feasible for a large dataset (Asssume the number of elements in the stack to be n)?|a) Because of its time complexity O(n)|b) Because of its time complexity O(log(n))|c) Extra memory is not required|d) There are no problems","a","To perform Queue operations such as enQueue and deQueue there is a need of emptying all the elements of a current stack and pushing elements into the next stack and vice versa. Therfore it has a time complexity of O(n) and the need of extra stack as well, may not be feasible for a large dataset.",10,
75,"Consider yourself to be in a planet where the computational power of chips to be slow. You have an array of size 10.You want to perform enqueue some element into this array. But you can perform only push and pop operations .Push and pop operation both take 1 sec respectively. The total time required to perform enQueue operation is?|a) 20|b) 40|c) 42|d) 43","d","First you have to empty all the elements of the current stack into the temporary stack, push the required element and empty the elements of the temporary stack into the original stack. Therfore taking 10+10+1+11+11= 43 seconds.",10,
76,"You have two jars, one jar which has 10 rings and the other has none. They are placed one above the other. You want to remove the last ring in the jar. And the second jar is weak and cannot be used to store rings for a long time.|a) Empty the first jar by removing it one by one from the first jar and placing it into the second jar|b) Empty the first jar by removing it one by one from the first jar and placing it into the second jar and empty the second jar by placing all the rings into the first jar one by one|c) There exists no possible way to do this|d) Break the jar and remove the last one","b","This is similar to performing dequeue operation using push and pop only. Elements in the first jar are taken out and placed in the second jar. After removing the last element from the first jar, remove all the elements in the second jar and place them in the first jar.",10,
77,"Given only a single array of size 10 and no other memory is available. Which of the following operation is not feasible to implement (Given only push and pop operation)?|a) Push|b) Pop|c) Enqueue|d) Returntop","c","To perform Enqueue using just push and pop operations, there is a need of another array of same size. But as there is no extra available memeory, the given operation is not feasible.",10,
78,"How many passes does the evaluation of infix expression algorithm makes through the input?|a) One|b) Two|c) Three|d) Four","a","Evaluation of infix expression algorithm is linear and makes only one pass through the input.",10,
79,"Identify the infix expression from the list of options given below.|a) a/b+(c-d)|b) abc*+d+ab+cd+*ce-f-|c) ab-c-|d) +ab","a","a/b+(c-d) is an infix expression since the operators are placed in between the operands.",10,
80,"Which of the following statement is incorrect with respect to evaluation of infix expression algorithm?|a) Operand is pushed on to the stack|b) If the precedence of operator is higher, pop two operands and evaluate|c) If the precedence of operator is lower, pop two operands and evaluate|d) The result is pushed on to the operand stack","b","If the precedence of the operator is higher than the stack operator, then it is pushed on to the stack operator.",10,
81,"Evaluation of infix expression is done based on precedence of operators.|a) True|b) False","a","During evaluation of infix expression, the operators with higher precedence are evaluated first, followed by operators with lower precedence.",10,
82,"Of the following choices, which operator has the lowest precedence?|a) ^|b) +|c) /|d) #","d","The operator with the lowest precedence is #, preceded by +, / and then ^.",10,
83,"The system throws an error if parentheses are encountered in an infix expression evaluation algorithm.|a) True|b) False","b","The algorithm holds good for infix expression with parentheses. The system does not throw error.",10,
84,"Evaluate the following and choose the correct answer.|a/b+c*d where a=4, b=2, c=2, d=1.|a) 1|b) 4|c) 5|d) 2","b","* and / have higher priority. Hence, they are evaluated first. Then, + is evaluated. Hence, 2+2=4.",10,
85,"Evaluate the following statement using infix evaluation algorithm and choose the correct answer.|4*2+3-5/5|a) 10|b) 11|c) 16|d) 12","a","4*2 and 5/5 are evaluated first and then, 8+3-1 is evaluated and the result is obtained as 10.",10,
86,"Using the evaluation of infix expression, evaluate a^b+c  and choose the correct answer. (a=2, b=2, c=2)|a) 12|b) 8|c) 10|d) 6","d","^ has the highest precedence. Hence, 2^2 is evaluated and then 4+2 gives 6.",10,
87,"Evaluate the following infix expression using algorithm and choose the correct answer.|a+b*c-d/e^f  where a=1, b=2, c=3, d=4, e=2, f=2.|a) 6|b) 8|c) 9|d) 7","a","^ has the highest order of precedence. Hence, 2^2 is evaluated first, and then, 2*3 and 4/4 are evaluated. Therefore, 1+6-1=6.",10,
89,"While evaluating a prefix expression, the string is read from?|a) left to right|b) right to left|c) center to right|d) center to left to right","b","The string is read from right to left because a prefix string has operands to its right side.",10,
90,"The associativity of an exponentiation operator ^ is right side.|a) True|b) False","a","The associativity of ^ is right side while the rest of the operators like +,-,*,/ has its associativity to its left.",10,
92,"What determines the order of evaluation of a prefix expression?|a) precedence and associativity|b) precedence only|c) associativity only|d) depends on the parser","a","Precedence is a very important factor in determining the order of evaluation. If two operators have the same precedence, associativity comes into action.",10,
93,"Find the output of the following prefix expression|*+2-2 1/-4 2+-5 3 1|a) 2|b) 12|c) 10|d) 4","a","The given prefix expression is evaluated using two stacks and the value is given by (2+2-1)*(4-2)/(5-3+1)= 2.",10,
94,"Using the evaluation of prefix algorithm, evaluate +-9 2 7.|a) 10|b) 4|c) 17|d) 14","d","Using the evaluation of prefix algorithm, +-9 2 7 is evaluated as 9-2+7=14.",10,
95,"If -*+abcd = 11, find a, b, c, d using evaluation of prefix algorithm.|a) a=2, b=3, c=5, d=4|b) a=1, b=2, c=5, d=4|c) a=5, b=4, c=7,d=5|d) a=1, b=2, c=3, d=4","b","The given prefix expression is evaluated as ((1+2)*5)-4 =11 while a=1, b=2, c=5, d=4.",10,
96,"Which of the following is an example for a postfix expression?|a) a*b(c+d)|b) abc*+de-+|c) +ab|d) a+b-c","b","abc*+de-+ is a postfix expression. +ab is a prefix expression and others are infix expressions.",10,
97,"Reverse Polish Notation is the reverse of a Polish Notation|a) True|b) False","b","Reverse Polish Notation is not the reverse of a polish notation. Though both NPN and RPN read the expression from left to right, they follow different strategies.",10,
98,"What is the time complexity of evaluation of postfix expression algorithm?|a) O (N)|b) O (N log N)|c) O (N2)|d) O (M log N)","a","The time complexity of evaluation of infix, prefix and postfix expressions is O (N).",10,
99,"In Postfix expressions, the operators come after the operands.|a) True|b) False","a","In postfix expressions, the operators follow operands. In prefix expressions, the operands follow operators.",10,
100,"Which of the following is not an application of stack?|a)  evaluation of postfix expression|b)  conversion of infix to postfix expression|c)  balancing symbols|d)  line at ticket counter","d","Line at ticket counter is an application of queue whereas conversion of infix to postfix expression, balancing symbols, line at ticket counter are stack applications.",10,
101,"While evaluating a postfix expression, when an operator is encountered, what is the correct operation to be performed?|a) push it directly on to the stack|b) pop 2 operands, evaluate them and push the result on to the stack|c) pop the entire stack|d) ignore the operator","b","When an operator is encountered, the first two operands are popped from the stack, they are evaluated and the result is pushed into the stack.",10,
102,"Which of the following statement is incorrect?|a) Postfix operators use value to their right|b) Postfix operators use value to their left|c) Prefix operators use value to their right|d) In postfix expression, operands are followed by operators","a","All prefix operators use values to their right and all postfix operators use values to their left.",10,
103,"What is the result of the given postfix expression?  abc*+ where a=1, b=2, c=3.|a) 4|b) 5|c) 6|d) 7","d","The infix expression is a+b*c. Evaluating it, we get 1+2*3=7.",10,
104,"What is the result of the following postfix expression?|a) 16|b) 12|c) 14|d) 10","a","The infix expression is a*b+c*d. Evaluating it, we get, 2*2+3*4=16.",10,
105,"Evaluate the postfix expression ab + cd/- where a=5, b=4, c=9, d=3.|a) 23|b) 15|c) 6|d) 10","c","The infix expression is (a+b)-c/d. Evaluating it, (5+4)-9/3 gives 6.",10,
106,"Evaluate and write the result for the following postfix expression|a) 61|b) 59|c) 60|d) 55","b","The infix expression is a+b*c+(d*e+f)*g. Evaluating it, 1+2*3+(4*5+6)*2 gives 59.",10,
107,"What would be the Prefix notation for the given equation?|A+(B*C)|a) +A*CB|b) *B+AC|c) +A*BC|d) *A+CB","c","Reverse the equation or scan the equation from right to left. Apply the infix-postfix algorithm. The equation inside the bracket evaluates to CB* and outside the bracket evaluates to A+ therefore getting CB*A+. Reversing this and we get +A*BC.",10,
108,"What would be the Prefix notation for the given equation?|(A*B)+(C*D)|a) +*AB*CD|b) *+AB*CD|c) **AB+CD|d) +*BA*CD","a","Reverse the equation or scan the equation from right to left. Apply the infix-postfix algorithm. The equation inside the brackets evaluate to DC* and BA* respectively giving us DC*BA*+ in the end. Reversing this we get the +*AB*CD.",10,
109,"What would be the Prefix notation for the given equation?|A+B*C^D|a) +A*B^CD|b) +A^B*CD|c) *A+B^CD|d) ^A*B+CD","a","Reverse the equation or scan the equation from right to left. Apply the infix-prefix algorithm. The preference order in ascending order are as follows +*^. Operators are pushed into the stack and popped if its preference is greater than the one which is getting pushed. In the end all operators are popped. The equation evaluates to DC^B*A+. Reversing this we get our following answer.",10,
110,"Out of the following operators (^, *, +, &, $), the one having highest priority is _________|a) +|b) $|c) ^|d) &","c","According to the algorithm (infix-prefix), it follows that the exponentiation will have the highest priority.",10,
111,"What would be the Prefix notation for the given equation?|A^B^C^D|a) ^^^ABCD|b) ^A^B^CD|c) ABCD^^^|d) AB^C^D","a","Reverse the equation or scan the equation from right to left. Apply the infix-prefix algorithm. Here we have to remember that the exponentiation has order of associativity from right to left. Therefore the stack goes on pushing ^. Therefore resulting in ^^^ABCD.",10,
112,"What would be the Prefix notation for the given equation?|a+b-c/d&e|f|a) |&-+ab/cdef|b) &|-+ab/cdef|c) |&-ab+/cdef|d) |&-+/abcdef","a","Reverse the equation or scan the equation from right to left. Apply the infix-prefix algorithm. The preference order in ascending order are as follows |&+*/.",10,
113,"Which of the following is an infix expression?|a) (a+b)*(c+d)|b) ab+c*|c) +ab|d) abc+*","a","(a+b)*(c+d) is an infix expression. +ab is a prefix expression and ab+c* is a postfix expression.",10,
114,"What is the time complexity of an infix to postfix conversion algorithm?|a) O(N log N)|b) O(N)|c) O(N2)|d) O(M log N)","b","The time complexity of an infix to postfix expression conversion algorithm is mathematically found to be O(N).",10,
